ID Paper;Title
362;Competence Theory and Research: A Synthesis 
12389;An Innovative Approach to Improve the Performances of the Research Community
12393;An Ontology for Personalization in Serious Games for Assessment
12397;Towards a context-aware personalized formative assessment in a collaborative online environment
12399;Semantic Formative E-Assessment for Project Management Professionals
12410;CISIS 2012 Keynote
12439;Ontology-Based Model Sustaining Competence Management within Corporates: Competence Certification in CSR
12442;Using a Competence Model to Aggregate Learning Knowledge Objects
12443;Competency Models: A Review of Initiatives
12452;Supporting Cognitive Competence Development in Virtual Classrooms - Personal Learning Management and Evaluation Using Pedagogical Agents
12474;Integrating Trust and Competency Management to Improve Learning
12483;Towards Semantic Web-based competence management: Going beyond the limits of traditional competence management
12490;Towards Guided Personal Learning Environments: Concept, Theory, and Practice
12491;SCALE: A Smart Competence Analytics Solution for English Writing
12495;Workplace learning - providing recommendations of experts and learning resources in a context-sensitive and personalized manner: An approach for ontology supported workplace learning
12500;Enhanced semantic automatic ontology enrichment
12501;Comparing the competence contents of demand and supply sides on the labour market
12507;Semantic Web Technology as a Tool for Integrating Training and Job Market Supply Chains
12512;Towards evaluating ontology based data matching strategies matching strategies, evaluation methodology and results
12635;The Opportunities of Cloud Computing for Managing Competences and Learning Paths in Pharmacy
12639;An Ontology Model for Content Recommendation in Personalized Learning Environment
12640;An Adult Learner's Knowledge Model Based on Ontologies and Rule Reasoning
12641;Mobile Learning and Integration of Advanced Technologies in Education
12644;Competence Web-Based Assessment for Lifelong Learning
12645;Supporting Adaptive Learning Interactions with Ontologies
12646;Enhance Employees' Competences through Customized Learning
12648;Increasing Adoption of Smart Learning Content for Computer Science Education
12649;Learning Systems as Ontology-Based Learning Object Repository
12650;Competences Management in an Organizational Learning Context
12651;Designing Customisable Data Science Curriculum Using Ontology for Data Science Competences and Body of Knowledge
12652;Ontology-Based E-Learning Content Recommender System for Addressing the Pure Cold-Start Problem
12653;Moodle's Ontology Development from UML for Social Learning Network Analysis
12654;A Methodology for Personalized Competency-Based Learning in Undergraduate Courses
12655;Towards an Ontology for Smart City Competences
12656;Using Visual Learning Analytics to Support Competence-Based Learning
12658;A Model and a Method for Assessing Students' Competencies in e-Learning System
12659;Lifelong Learning in Virtual Education Space with Intelligent Assistants
12660;The Hybrid Recommendation of Digital Educational Resources in a Distance Learning Environment: The Case of MOOC
12661;Data Scientist Professional Revisited: Competences Definition and Assessment, Curriculum and Education Path Design
12662;Open Assessment Resources Recommendation for Competence Assessment
12663;Development and Use of Domain-Specific Learning Theories, Models, and Instruments in Computing Education
12664;Exploring Learning Resource Recommendation Approaches for Secondary Education
12668;Personalizing Access to Learning Networks
12670;Formal Competence-Based Assessment: On Closing the Gap between Academia and Industry
12671;Modelling Competencies for Computing Education beyond 2020: A Research Based Approach to Defining Competencies in the Computing Disciplines
12676;Ontological Search for Academic Resources
12677;The Computing Ontology: Application in Education
12679;Towards a Framework for Ontology Learning from Interactions in Natural Language and Reasoning
12682;Ontological Model for the Semantic Description of Syllabuses
12688;Open Educational Practices and Resources Based on Social Software, UTPL Experience
12693;An Ontology Based Linguistic Infrastructure to Represent Software Risk Identification Knowledge
12695;Why Web 2.0 is Good for Learning and for Research: Principles and Prototypes
12696;A Correlation Verb (CorrVerb) Ontology for Object Properties Specification within Knowledge Domain Representations
12705;An Ontology-Based Information Model for Multi-Domain Semantic Modeling and Analysis of Smart City Data
12710;Resources and Semantic-Based Knowledge Models for Personalized and Self-Regulated Learning in the Web: Survey and Trends
12714;The Cyber Education Project and IT IAS Curriculum
12715;Validation of Informal Learning
12728;SeeQuery: An Automatic Method for Recommending Translations of Ontology Competency Questions into SPARQL-OWL
12730;Ontology-Based Framework For Automatic Generation Of SQL Assessment
12735;SemCCM: Course and Competence Management in Learning Management Systems Using Semantic Web Technologies
12736;Towards an Automatic Approach for Assessing Program Competencies
12742;Ontology-Guided Job Market Demand Analysis: A Cross-Sectional Study for the Data Science Field
12752;Using Ontologies to Aid Knowledge Sharing in HCI Design
12756;Review of Challenges in Content Extraction in Web Based Personalized Learning Content Management Systems
12764;Computer Science/Informatics in Secondary Education
12766;Characterising the Gap Between Theory and Practice of Ontology Reuse
12768;Ontology Evaluation and Multilingualism
12769;Game Development for Computer Science Education
12771;An Analysis of the Formal Properties of Bloom's Taxonomy and Its Implications for Computing Education
12782;Designing Computer Science Competency Statements: A Process and Curriculum Model for the 21st Century
12785;Can Technology Replace the Teachers’ Role in Higher Education Settings? A Systematic Literature Review
12787;Ontological Model for Student's Knowledge Assessment
12792;Software Product Line to Overcome the Variability Issue in E-Learning: Systematic Literature Review
12799;Using TOSCA Language to Model Personalized Educational Content: Introducing EduTOSCA
12800;On Gamification in Action Learning
12801;Automatic Extraction of Core Learning Goals and Generation of Pedagogical Sequences through a Collection of Digital Library Resources
12808;Design Insights for the next Wave Ontology Authoring Tools
12831;A Researcher Expertise Search System Using Ontology-Based Data Mining
12833;Transformation of the Pedagogical Process in the Context of Digital Education
12834;Towards Skills-Based Curriculum Analytics: Can We Automate the Recognition of Prior Learning?
12838;Using Formal Concept Analysis for Ontology Maintenance in Human Resource Recruitment
12843;Mixed Methods: Lessons Learned from Five Cases of Doctoral Theses
12854;Topic Maps as a Tool for Facilitating Collaborative Work Pedagogy in Knowledge Management Systems
12856;A Snapshot of Ontology Evaluation Criteria and Strategies
12867;Student Profile Modeling: An Overview Model
12868;Attitude towards the Use of Mobile Devices for the Practice of Oral Skills in English
12874;Semantic Web Based Software Platform for Curriculum Harmonization
12879;Uncovering Structure behind Function: The Experiment as Teaching Method in Computer Science Education
12882;STAFFER: Skill Training Alliance for the Future European Rail System✱
12885;From Theory Bias to Theory Dialogue: Embracing Cognitive, Situated, and Critical Framings of Computational Thinking in K-12 CS Education
12891;Artificial Intelligence Competencies for Data Science Undergraduate Curricula
12896;Identifying Unreliable Sources of Skill and Competency Information
12898;A Context Based Approach to Adapt Training Strategy for Handicraft Women from Third World Countries
12902;Bringing Computational Thinking to K-12: What is Involved and What is the Role of the Computer Science Education Community?
12912;LONET: An Interactive Search Network for Intelligent Lecture Path Generation
12913;Web Documents Structures as Source for Machine-Understandable Document
12918;"Educating the Workforce: M&amp;S Professional Education"
12919;What We Talk About When We Talk About Programs
12924;Developing Enterprise Architecture Skills in HEI's: A Russian Survey
12926;Knowledge Management and Collective Intelligence through Web Tools
12929;Document Annotation Tools: Annotation Classification Mechanisms
12937;The Impact of the Digital Interaction Network on the Future Professionals Behavior
12938;Skills Matter: Modeling the Relationship between Decision Making Processes and Collaborative Problem-Solving Skills during Hidden Profile Tasks
12943;Constructing Expert Profiles over Time for Skills Management and Expert Finding
12949;STOPS: A Graph-Based Study Planning and Curriculum Development Tool
12951;A Benchmarking Platform for Analyzing Corpora of Traces: The Recognition of the Users' Involvement in Fields of Competencies
12952;Acquiring Ethical Communicative Tools for an Online Ethics Training
12973;Towards an Integrated Retrieval System to Semantically Match CVs, Job Descriptions and Curricula
12997;On the Congruence Between Online Social Content and Future IT Skill Demand
12999;Design of an Analytic Centric MS Degree in Information Sciences and Technologies
13017;Personalized Activity Based ELearning
13026;Designing Manipulative Tools for Creative Multi and Cross-Cultural Storytelling
13040;Filtering Graduate Courses Based on LinkedIn Profiles
13045;Producing Competent HPC Graduates
13096;Picturing What Others Know: Towards a Dashboard for Interdisciplinarity
13193;ACORDAR: A Test Collection for Ad Hoc Content-Based (RDF) Dataset Retrieval
13223;Knowledge Profiles of Employees
13254;Bridge the Terminology Gap between Recruiters and Candidates: A Multilingual Skills Base Built from Social Media and Linked Data
13260;Modeling Play: Re-Casting Expertise in MMOGs
13317;Studying Possibilities to Use Several Experts' Maps in the Concept Map Based Knowledge Assessment System
13408;Using Hierarchical Skills for Optimized Task Assignment in Knowledge-Intensive Crowdsourcing
13497;Semantic Work Process Analysis: A Reflexive Stakeholder Articulation Approach
23940;Teamwork assessment in the educational web of data: A learning analytics approach towards ISO 10018
23941;A new competency ontology for learning environments personalization
23942;Project - Competency Based Approach and the Ontological Model of Knowledge Representation of the Planned Learning
23943;MODEL OF ENGINEERING EDUCATION WITH THE USE OF THE COMPETENCE-PROJECT APPROACH, ONTOLOGICAL ENGINEERING AND SMART CONTRACTS OF KNOWLEDGE COMPONENTS
23946;An Ontology and a Software Framework for Competency Modeling and Management
23947;Improving Cognitive Decision-Making into Adaptive Educational Systems through a Diagnosis Tool based on the Competency Approach
23953;Competency Based Approach: Modeling and Implementation
23954;Supervisor descriptions of veterinary student performance in the clinical workplace: a qualitative interview study
23958;An ontology-based model for competence management
23960;A Framework to Assist in Didactic Planning at Undergraduate Level
23963;Integration of Competencies in an Ontology-Based Framework Supporting Teachers to Construct Learning Designs in the Domain of Sustainable Energy Education
23964;A semantic approach to expert system for e-Assessment of credentials and competencies
23965;Ontology-Based Smart System to Automate Higher Education Activities
23967;The foundation for future education, teaching, training, learning, and performing infrastructure - The open interoperability conceptual framework approach
23971;Valuing Prior Learning: Designing an ICT Artifact to Assess Professional Competences through Text Mining
23972;PLANNING OF THE KNOWLEDGE CONTENT OF THE EDUCATIONAL PROGRAM USING ONTOLOGICAL ENGINEERING AND DESIGN-COMPETENCE APPROACH
23973;Towards a common and semantic representation of e-portfolios
23974;Informatics in Undergraduate Medical Education: Analysis of Competency Frameworks and Practices Across North America
23986;Interoperability Framework for Competences and Learning Outcomes
23988;The development of ontological model for increasing the competitiveness of university graduates in information technologies
23992;Computational Assistant for the Assessment University Competencies in B-Learning Environments
23993;Comparison of knowledge during the assembly process of learning objects
23996;Modeling as Scientific Reasoning The Role of Abductive Reasoning for Modeling Competence
23999;Ontological approach in the practice of the educational activity: paths formation of individual professional development of students
24002;A general model for competency repositories and its instantiation to the information systems domain
24003;Competence management in knowledge intensive organizations using consensual knowledge and ontologies
24005;ELO-Tool: Taking Action in the Challenge of Assembling Learning Objects
24007;Development of Ontology Based Competence Management Model for Non-Formal Education Services
