ID Paper;Title;Abstract
362;Competence Theory and Research: A Synthesis ;
12393;An Ontology for Personalization in Serious Games for Assessment;Serious Games have been widely used in learning, more specifically and more recently for stealth assessment of competencies. To guarantee a reliable assessment outcome, it is essential to keep on an engaging flow in the game, with the right balance between challenge and entertainment. This requires the adaptation of the game content, scenarios and difficulty level to the various profiles, portfolios, learning styles and gameplay style of the assessed players. In this paper, we propose an ontology to model player experience and its association with in-game personalization. On one hand, we use segmentation to define groups of players and we map them to various game changes and adaptations. On the other hand, we link games to academic programs objectives by expressing which competencies required by a given program are assessed by which set of game scenarios. Using our proposed ontology, we define a set of reasoning rules to propose to each player only those games that are tailored for her/his assessment path and player experience.
12397;Towards a context-aware personalized formative assessment in a collaborative online environment;Assessment is a critical component of any teaching-learning process. It is the only way to gain a better understanding of the knowledge and abilities of the learners, especially in a collaborative learning environment. The learner must pay special attention to interactions and real-world context when selecting collaborative situations and activities. As a result, it is critical to ensure that assessment methods and techniques are adapted so that the learning process is better suited to each group of learners, with their unique learning style, background, needs, previous experiences, and most importantly, context. This paper addressed two major issues in the development of a personalized formative assessment system that will be used to assess the knowledge, skills, and competencies of individual and group learners in an online collaborative learning environment. One approach is to design an adaptive assessment path that helps learners achieve specific learning goals based on previous learner performance, level, and context. The other is to make a personalized recommendation using a Context-Aware Recommender System (CARS), which monitors group formation while performing collaborative assessment activities. To formalize and well define our proposed system, we suggest a semantic web approach using ontologies and eLearning standards, CMI5 to describe the proposed assessment path, and IEEE PAPI for the learner model, all of which allow data reusability and interoperability.
12399;Semantic Formative E-Assessment for Project Management Professionals;The paper presents the module for formative e-assessment in a complex learning management system. The module implements the automatic evaluation of answers to open questions and provides feedback related to further reading or joining suitable expert communities. The evaluation of the questions is accomplished using diverse ontology-related technologies and open-source tools, such as GATE, WordNet, Text2Onto, OpenNLP, Jena API, Alignment API, Protégé. A use-case scenario is offered for trainees willing to obtain a project management professional certification. The challenges of integration and optimal exploitation of such a module into a learning management system are underlined, stressing the fact that the mapping between concepts which have to be evaluated through assessment and professional competences standards has not currently a straightforward solution. Thus, we could say the system-based solution we envisioned is both technology-driven and need-driven: based on combining recent semantic technologies, it satisfies the experts' urge to provide competency-based learning aligned to well-established standards which reflect the market requirements and the trainees' need of having an intelligent tool helping them to prepare for open-questions based exams, which are currently less supported by IT.
12439;Ontology-Based Model Sustaining Competence Management within Corporates: Competence Certification in CSR;Modern technologies, the increased requirements of the market and the search for a combination of efficiency and quality assurance that have led to the emergence of new ways of organizing production, have had substantial repercussions on the level of skills, knowledge and the capabilities of human resources. This paper proposes an approach that improves the standards related to the competence certification of human capital in order to comply with the principles of Corporate Social Responsibility through ontologies.
12442;Using a Competence Model to Aggregate Learning Knowledge Objects;Competence-based learning models have great importance for learning resources: they constitute a meaningful structure for just-in-time and just-enough learning. In this paper, we present an ontology-based competence model that allows the on-the-fly generation of learning knowledge objects (LKOs). The automatic aggregation process relies on knowledge objects and ontologies created through text mining and natural language processing. It is guided by instructional theories encoded declaratively through SWRL. Our framework offers a constructivist learning approach through the presentation of the LKO's context to the learner based on domain ontology. Finally, it allows the standardization of the generated learning objects in SCORM and IMS-LD.
12452;Supporting Cognitive Competence Development in Virtual Classrooms - Personal Learning Management and Evaluation Using Pedagogical Agents;Self-directed learning with learning management systems can be intelligently supported and enriched using available log data in combination with detailed competence ontologies. The approach described here implements a mechanism to adaptively generate quizzes for self-assessment in a Moodle environment. The underlying agent architecture uses a tuple space in the role of a blackboard. The approach has been worked out with a distance course on Genetics.
12483;Towards Semantic Web-based competence management: Going beyond the limits of traditional competence management;In knowledge society organizations as well as individuals publish relevant data about themselves in the Web. However, still most Web content is only suitable for human consumption. It is not machine-understandable. In this paper, we have restricted ourselves on publishing machine-understandable competence-oriented data in the Web. Such data allows the development of new and more strengthen solutions for collaborative competence management. We present relevant data infrastructures and technologies for such collaboration. In particular, we introduced the notion of Competence Collaboration Domain for data sharing, and the notion of Semantic Profile for representing competences in machine-understandable way.
12490;Towards Guided Personal Learning Environments: Concept, Theory, and Practice;Guided Personal Learning Environment concept (gPLEc) is a novel PLE-building methodology which seeks to fulfill emergent learning needs of a learner through incorporating teachers' guidance element in learners' PLE-building activity. Using Social Semantic Web (SSW) and Recommender System (RS) technologies the gPLEc integrates teachers' PLE-based learning competencies and learners' social web and interaction history data to generate personalized recommendations for each learner. The results, achieved so far, confirm importance of teachers' guidance element for successful implementation of the PLE vision. The expected outcome of this exploratory research is to gain knowledge to construct personalized elearning systems.
12507;Semantic Web Technology as a Tool for Integrating Training and Job Market Supply Chains;For some time now, the training and valorisation of human capital has served as a fulcrum in the strategies of the European Union, in light of its key role in the knowledge economy. Nowadays, the term competence refers to the accumulated outcomes of a variety of learning paths undertaken throughout people's lives. This paper presents a 'traceability' system which uses the ontologies in order to assist universities in the mid-to-long term mapping of the competences acquired by its human capital and to verify that the latter is correctly placed in the job market.
12635;The Opportunities of Cloud Computing for Managing Competences and Learning Paths in Pharmacy;The role of competence management in pharmacy is increasing all the time as healthcare is a field where the fast development of drug treatment and the introduction of new drugs require specialized skills and knowledge that need to be renewed frequently. However, there are two obstacles for the widespread adoption of computer aided competence management in pharmacies. First, pharmacies, as well as most SMEs, do not have enough resources for maintaining competence management systems. Second, pharmacy is a field where well functioning competence management requires co-operation between pharmaceutical organization, healthcare authorities and educational institutions. The problem in co-operation is twofold: (i) the competence descriptions and terminology are not uniformly understood between these organizations, and (ii) the competence management systems do not support co-operation. In order to solve the resource problem, we have exploited a community cloud, which is appropriate in supporting communities that have shared concerns. Further, in order to carry out the co-operation of relevant parties, we have developed a competence ontology that specifies shared terminology, and which makes up a shared data store for the co-operating parties.
12648;Increasing Adoption of Smart Learning Content for Computer Science Education;Computer science educators are increasingly using interactive learning content to enrich and enhance the pedagogy of their courses. A plethora of such learning content, specifically designed for computer science education, such as visualization, simulation, and web-based environments for learning programming, are now available for various courses. We call such content smart learning content. However, such learning content is seldom used outside its host site despite the benefits it could offer to learners everywhere. In this paper, we investigate the factors that impede dissemination of such content among the wider computer science education community. To accomplish this we surveyed educators, existing tools and recent research literature to identify the current state of the art and analyzed the characteristics of a large number of smart learning content examples along canonical dimensions. In our analysis we focused on examining the technical issues that must be resolved to support finding, integrating and customizing smart learning content in computer science courses. Finally, we propose a new architecture for hosting, integrating and disseminating smart learning content and discuss how it could be implemented based on existing protocols and standards.
12651;Designing Customisable Data Science Curriculum Using Ontology for Data Science Competences and Body of Knowledge;Importance of Data Science education and training is growing with the emergence of data driven technologies and organisational culture that intend to derive actionable value for improving research process or enterprise business using variety of enterprise data and widely available open and social media data. Modern data driven research and industry require new types of specialists that are capable to support all stages of the data lifecycle from data production and input to data processing and actionable results delivery, visualisation and reporting, which can be jointly defined as the Data Science professions family. The education and training of Data Scientists requires multi-disciplinary approach combining wide view of the Data Science and Analytics foundation with deep practical knowledge in domain specific areas. In modern conditions with the fast technology change and strong skills demand, the Data Science education and training should be customizable and delivered in multiple form, also providing sufficient data labs facilities for practical training. This paper discusses approach to building customizable Data Science curriculum for different types of learners based on using the ontology of the EDISON Data Science Framework (EDSF) developed in the EU funded Project EDISON and widely used by universities and professional training organisations.
12655;Towards an Ontology for Smart City Competences;Smart cities are complex ecosystems that use information and communication technologies for helping their citizens and organizations to face the challenges of urbanization, safety, resilience, and sustainability. The SmartDevOps project proposes a framework aiming to address the shortage of professional skills in municipalities. Following the increased use of AI methods to provide recommendations in training, there is also an increased need for formalization of existing courses to enable recommendations. This work is dedicated to the conceptual formal modeling of the delivered courses for gaining the competences required for smart city professionals by following the SmartDevOps methodology. We present the Smart City Competence Ontology (SCCompO) that provides a formalism for modeling concepts like competence, learning objective and outcome of courses that aims to cooperate with MOOC platform for training of Smart City professionals. It follows the modular, extensible structure of the curriculum, and it is designed to respond to questions regarding prerequisites and outcomes of job profiles, competences, and courses. The impact of using the developed ontology is to augment the MOOC platform by providing reasoning on course selection and their learning outcomes as well on the relations among these concepts in order to make decisions about the learners’ curricula.
12658;A Model and a Method for Assessing Students' Competencies in e-Learning System;This article discusses a model and a method for assessing students' competencies in e-learning system, verification of fulfillment of the educational program goals and formation of a graduate with competencies set as a goal at the entrance. It also offers assessment at the level of a discipline, a module and verification of the achievement of the educational program goals.
12668;Personalizing Access to Learning Networks;"In this article, we describe a Smart Space for Learning™ (SS4L) framework and infrastructure that enables personalized access to distributed heterogeneous knowledge repositories. Helping a learner to choose an appropriate learning resource or activity is a key problem which we address in this framework, enabling personalized access to federated learning repositories with a vast number of learning offers. Our infrastructure includes personalization strategies both at the query and the query results level. Query rewriting is based on learning and language preferences; rule-based and ranking-based personalization improves these results further. Rule-based reasoning techniques are supported by formal ontologies we have developed based on standard information models for learning domains; ranking-based recommendations are supported through ensuring minimal sets of predicates appearing in query results. Our evaluation studies show that the implemented solution enables learners to find relevant learning resources in a distributed environment and through goal-based personalization improves relevancy of results."
12676;Ontological Search for Academic Resources;"Active methodologies promote students' elaboration of knowledge-based resources susceptible to being used as a learning tool. However, due to their quantity, variety and the technology used, it is difficult to manage them, mainly as regards the consultation and identification of the most appropriate resources to carry out a specific training action. A possible solution would be to develop (1) a repository that offers an overview of all resources generated, regardless of the technology, variety and types; (2) an ontology, which permits their classification; and (3) a semantic search system that allows a user to make a quick and effective retrieval. This research-based paper shows the results obtained using a content manager, which centralizes the resources created by the students in some technologies. Also, two tools have been developed: an ontology, which permits resources of a subject to be classified, and a plugin for WordPress, which allows the ontologies are building through the use of tags and categories, as well as to provide them with a semantic search engine through inferences between ontology-related elements---. Through a result cross-check, students' perception of the repository use has been measured. It has been found that, on the one hand, the system proposed is adequate to manage the resources generated by the students; and, on the other, their availability has been useful for them."
