12389; An Innovative Approach to Improve the Performances of the Research Community
12397; Towards a context-aware personalized formative assessment in a collaborative online environment
12399; Semantic Formative E-Assessment for Project Management Professionals
12410; CISIS 2012 Keynote
12507; Semantic Web Technology as a Tool for Integrating Training and Job Market Supply Chains
12792; Software Product Line to Overcome the Variability Issue in E-Learning: Systematic Literature Review
12854; Topic Maps as a Tool for Facilitating Collaborative Work Pedagogy in Knowledge Management Systems
12867; Student Profile Modeling: An Overview Model
12868; Attitude towards the Use of Mobile Devices for the Practice of Oral Skills in English
12874; Semantic Web Based Software Platform for Curriculum Harmonization
12882; STAFFER: Skill Training Alliance for the Future European Rail System✱
12898; A Context Based Approach to Adapt Training Strategy for Handicraft Women from Third World Countries
12912; LONET: An Interactive Search Network for Intelligent Lecture Path Generation
12913; Web Documents Structures as Source for Machine-Understandable Document
12919; What We Talk About When We Talk About Programs
12924; Developing Enterprise Architecture Skills in HEI's: A Russian Survey
12926; Knowledge Management and Collective Intelligence through Web Tools
12929; Document Annotation Tools: Annotation Classification Mechanisms
12937; The Impact of the Digital Interaction Network on the Future Professionals Behavior
12938; Skills Matter: Modeling the Relationship between Decision Making Processes and Collaborative Problem-Solving Skills during Hidden Profile Tasks
12943; Constructing Expert Profiles over Time for Skills Management and Expert Finding
12949; STOPS: A Graph-Based Study Planning and Curriculum Development Tool
12952; Acquiring Ethical Communicative Tools for an Online Ethics Training
12973; Towards an Integrated Retrieval System to Semantically Match CVs, Job Descriptions and Curricula
12997; On the Congruence Between Online Social Content and Future IT Skill Demand
12999; Design of an Analytic Centric MS Degree in Information Sciences and Technologies
13017; Personalized Activity Based ELearning
13026; Designing Manipulative Tools for Creative Multi and Cross-Cultural Storytelling
13040; Filtering Graduate Courses Based on LinkedIn Profiles
13045; Producing Competent HPC Graduates
13096; Picturing What Others Know: Towards a Dashboard for Interdisciplinarity
13193; ACORDAR: A Test Collection for Ad Hoc Content-Based (RDF) Dataset Retrieval
13223; Knowledge Profiles of Employees
13254; Bridge the Terminology Gap between Recruiters and Candidates: A Multilingual Skills Base Built from Social Media and Linked Data
13260; Modeling Play: Re-Casting Expertise in MMOGs
13317; Studying Possibilities to Use Several Experts' Maps in the Concept Map Based Knowledge Assessment System
13408; Using Hierarchical Skills for Optimized Task Assignment in Knowledge-Intensive Crowdsourcing
13497; Semantic Work Process Analysis: A Reflexive Stakeholder Articulation Approach
23954; Supervisor descriptions of veterinary student performance in the clinical workplace: a qualitative interview study
23960; A Framework to Assist in Didactic Planning at Undergraduate Level
23973; Towards a common and semantic representation of e-portfolios
24018; Exploring Automated Classification Approaches to Advance the Assessment of Collaborative Problem Solving Skills
24046; Concept frame for curricular innovation in health care schools
24111; KNOWLEDGE TRANSFER AS ONE OF THE FACTORS OF INCREASING UNIVERSITY COMPETITIVENESS
24169; Intelligent technology for construction of tutoring integrated expert systems: new aspects
24203; Svårigheter i att definiera begreppet kompetens
24242; Development of knowledge base of intellectual system for support of formal and informal training of IT staff
24323; Information Support of Design Innovation Activity of the Technical University
24348; SEMANTIC PROCESSING OF INFORMATION RESOURCES OF LABOUR MARKET
24400; Semantic-based skill management for automated task assignment and courseware composition
24490; Constructing expert profiles over time for skills management and expert finding
24495; Um Estudo de caso: Gerenciando e Construindo Competências em Pesquisa e Desenvolvimento no Laboratório de Engenharia de Software
24521; SEMANTIC PROCESSING OF INFORMATION RESOURCES OF LABOUR MARKET
24570; Toward an approach to create selforganizing and reflexive information systems project practitioners
24597; Anàlisi videogràfica per avaluar els aprenentatges en les pràctiques externes de la formació inicial de docents de secundària
24610; School knowledge, science, institution and democracy
24616; EDISON Data Science Framework: Part 5. EDSF Use Cases and Applications (EDSF-UCA) Release 4
69648; A Knowledge-Skill-Competencies e-Learning Model in Mathematics
69731; Modeling Semantic Context for Active e-Learning in the Workplace
69743; Skill Modelling for Digital Factories
69790; An XML Multi-agent System for E-learning and Skill Management
69821; Organizational schemata of e-portfolios for fostering higher-order thinking
69833; Supporting assessment autonomy: How one small school articulated the infrastructure needed to own and use student data
69976; IM-TAG: Informal Mentoring Improved by Means of Social Web Contents Tagging
69981; Use of RDF for expertise matching within academia
69993; Capability Modelling and Knowledge Management
70036; A Method for Developing Generic Capability Maps
98790; Use of Semantic Technologies for Validation of e-Learning Outcomes
98792; Towards the Technology of Employers’ Requirements Collection Development
98807; A Knowledge-Model for AI-Driven Tutoring Systems
98817; Validation of a semantic search engine for academic resources on engineering teamwork
98830; The Model of Curriculum Constructor
98841; From content management to E-learning content repositories
98844; Integrating social media into an instructional design support system
98877; Modeling semantic context for active e-learning in the workplace
98879; Knowledge graph: Semantic representation and assessment of innovation ecosystems
98902; Knowledge management within the medical university
98908; Knowledge-based model for curricular design in Ecuadorian universities
98916; STSIM: Semantic-web based tool to student instruction monitoring
98998; The Influence of Descriptive Language Practices on the Process of External Integration of Corporate Knowledge
99059; Allocation of Human Resources in Sustainable Production Context
99208; Platform for computer-aided harmonization of informatics curricula
99272; Semantic enhancement of the course curriculum design process
99392; Providing multimedia recommendations based on a Markov decision process inside e-learning platforms
12391; Job Pre-Interview System with Artificial Intelligence
12401; Augmenting the knowledge bandwidth and connecting heterogeneous expert communities through uncovering tacit knowledge
