362;Competence Theory and Research: A Synthesis 
2949;Adaptive Learning Resources Sequencing in Educational Hypermedia Systems
12388;Integration of Data Based on Ontologies for the Generation of a Multimedia Repository of Language and Speech
12389;An Innovative Approach to Improve the Performances of the Research Community
12390;Some Aspects of Individual Approach to Learning Based on Tutoring Integrated Expert Systems
12391;Job Pre-Interview System with Artificial Intelligence
12392;One approach to the classification of business knowledge diagrams: Practical view
12393;An Ontology for Personalization in Serious Games for Assessment
12394;Integrating European Qualification Systems with OWL Ontologies
12395;Incentive Model of a Project Learning Process
12396;Identifying unreliable sources of skill and competency information
12397;Towards a context-aware personalized formative assessment in a collaborative online environment
12398;InformalOnt: An ontology to empower the informal sector workforce
12399;Semantic Formative E-Assessment for Project Management Professionals
12400;Information Systems Development Course: Integrating Business, IT and IS Competencies
12401;Augmenting the knowledge bandwidth and connecting heterogeneous expert communities through uncovering tacit knowledge
12402;Automatic generation of assessment objects and Remedial Works for MOOCs
12403;Predict the Emergence: Application to Competencies in Job Offers
12404;Maps4Learning: Enacting Geo-Education to Enhance Student Achievement
12405;Predictive data analysis techniques applied to dropping out of university studies
12406;Aggregation of Engineering and Language Skills Development in the Global Information Environment
12407;Automated Construction of Young Specialists Models with the Use of Tutoring Integrated Expert Systems
12408;Correcting open-answer questionnaires through a Bayesian-network model of peer-based assessment
12409;Adaptive Social Media Skills Trainer for Vocational Education and Training: Concept and Implementation of a Recommender System
12410;CISIS 2012 Keynote
12411;Designing pedagogical devices
12412;A Semantic Recommender System for Adaptive Learning
12413;Skills of engineers in knowledge based economies: A comprehensive literature review, and model development
12414;A Recommender System as a Support and Training Tool
12415;IT skills in Romania
12416;An Ontology to Formalize a Creative Problem Solving Activity
12417;Automatic Question Generation with Classification Based on Mind Map
12418;Constructing a semantic wiki-based teamwork platform for collaborative e-research
12419;Logical operative processes of semantic grammar for machine interpretation
12420;Providing knowledge support in business process: a context based approach
12421;Using tag clouds to support the comparison of qualifications, Résumés and job profiles
12422;Support for collaborative development of a customer solution in railway transport
12423;Development of Integrated Information Systems to Support Scientific Activity
12424;Enhancing Ontology-Based Educational Content Search Service with Competency
12425;Competencies Ontology for the Analysis of Educational Programs
12426;An adaptive strategy to help students in e-Learning systems using competency-based ontology and agents
12427;Software design for the evaluation of competency based learning in engineering careers Ontological approach for modeling
12428;Education management in healthcare communities
12429;Ontology Based Education/Industry Collaboration Modeling: Opportunities and Challenges
12430;A Use Case Diagrams ontology that can be used as common reference for Software Engineering education
12431;Adaptive Learning Objects Sequencing for Competence-Based Learning
12432;LEXI: A Semantic Tool to Enrich Lexical Competence of Language Learners
12433;An Ontology for Describing Competency-Based Curriculum at Engineering Careers
12434;Overview of CALEP: a Competency Based Learning Path Generation System
12435;An Object-Oriented Approach to Ontology Modelling in Specialists Education of Methods and Technologies of Artificial Intelligence
